x,y,season
0.003941605839416135,0.37451737451737444,rain
0.007883211678832214,0.39536679536679525,rain
-0.009197080291970722,0.576061776061776,rain
-0.003941605839415968,0.5042471042471042,rain
0.023649635036496447,0.48571428571428565,rain
0.04729927007299278,0.4486486486486486,rain
0.05518248175182491,0.5042471042471042,rain
0.09328467153284681,0.49961389961389957,rain
0.10510948905109496,0.5413127413127412,rain
0.10510948905109496,0.5853281853281853,rain
0.15372262773722634,0.5528957528957528,rain
0.17474452554744535,0.6409266409266408,rain
0.20102189781021906,0.5853281853281853,rain
0.2943065693430657,0.6918918918918919,rain
0.4191240875912408,0.5644787644787644,rain
0.50978102189781,0.7868725868725869,rain
0.5912408759124088,0.6826254826254826,rain
0.7672992700729926,0.9791505791505792,rain
7.055599999999998e-4,0.32109375000000084,dry
7.371799999999998e-4,0.5460937500000005,dry
7.725199999999998e-4,0.48281250000000075,dry
8.301799999999999e-4,0.26835937500000084,dry
8.655199999999999e-4,0.2929687500000011,dry
9.2318e-4,0.2402343750000011,dry
8.5064e-4,0.36679687500000124,dry
8.636599999999998e-4,0.6093750000000011,dry
8.748199999999999e-4,0.5496093750000004,dry
9.454999999999999e-4,0.4546875000000006,dry
0.00104594,0.5601562500000006,dry
0.00112592,0.394921875000001,dry
0.00115568,0.5285156250000005,dry
0.00120032,0.5460937500000005,dry
0.0012189199999999999,0.38789062500000115,dry
0.0012151999999999998,0.7746093750000005,dry
0.00120032,0.8800781250000005,dry
0.00126542,0.8906250000000007,dry
0.00130076,0.7500000000000007,dry
0.0013379600000000002,0.8484375000000004,dry
0.0014346800000000002,1.0628906250000008,dry
0.00160208,0.7710937500000006,dry
